activity_id,activity,details,start_time,end_time,duration,suck_score,category,body_score,aches,injuries
0,Ice Bath,55 degrees fahrenheit,2023-09-24 08:02:15,2023-09-24 08:07:23,0:05:08,3,Recovery,60,achilles tendinitis,
1,Ab Workout,Perfomed 8 different ab exercises,2023-09-24 08:22:57,2023-09-24 08:51:11,0:28:14,4,Workout,60,achilles tendinitis,
